A-000000-00005;A-000000-00005;Dual V;Dual V;http://www.audiologys.com/image_pour_import/articles/8495e7845913e58d12037c968e3f9984.jpg;;461.0;publish;micro_contour_ecouteur_deporte;optimum;surdite_legere_de_20_a_40_de_perte;classe_d;oticon;oui;oui;oui_telecommande;oui_telecommande;non;oui;312;oui;www.oticon.fr/;6_canaux;oui;;;;no;search;no;open;open
A-000000-00009;A-000000-00009;WIDEX MIND 330 M 9 T;MIND 330 M 9 T;http://www.audiologys.com/image_pour_import/articles/dbc5ac6a1f650fd1013fb3986bf5ef0e.jpg;;516.0;publish;contour_d_oreille;optimum;surdite_legere_de_20_a_40_de_perte;classe_d;widex;oui;non;oui;oui;non;oui;13;non;www.widex.fr/;6_canaux;oui;;;;no;search;no;open;open
A-000000-00026;A-000000-00026;DUAL MINI M7;DUAL MINI M7;http://www.audiologys.com/image_pour_import/articles/ca47189c89632cba8e1393f0cd1830bd.jpg;;461.0;publish;micro_contour_ecouteur_deporte;extra;surdite_legere_de_20_a_40_de_perte;classe_d;oticon;oui;oui;oui_telecommande;oui_telecommande;non;oui;10;oui;www.oticon.fr/;8_canaux;oui;;;;no;search;no;open;open
A-000000-00067;A-000000-00067;Infiniti Pro ITE;Infiniti Pro ITE;;;259.0;draft;intra_auriculaire;confort;surdite_legere_a_moyenne;;;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00068;A-000000-00068;Infiniti Pro;Infiniti Pro;;;259.0;draft;contour_d_oreille_standard;confort;surdite_moyenne_a_severe;;;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00069;A-000000-00069;Infiniti Pro SP;Infiniti Pro SP;;;259.0;draft;contour_d_oreille_standard;confort;surdite_moyenne_a_severe;;;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00070;A-000000-00070;Intuis ITC;Intuis ITC;http://www.audiologys.com/image_pour_import/articles/a613f256c0ee21c961da752276626c70.jpg;;269.0;draft;intra_classique;extra;surdite_moyenne_a_severe;classe_c;siemens;non;non;non;non;non;non;13;non;;;;;;;no;search;no;open;open
A-000000-00074;A-000000-00074;Intuis Life;Intuis Life;http://www.audiologys.com/image_pour_import/articles/29bd310b0a930f21dece404ec71015ed.jpg;;269.0;draft;micro_contour_open;confort;surdite_legere_a_moyenne;classe_c;siemens;non;non;non;non;non;non;13;non;;;;;;;no;search;no;open;open
A-000000-00075;A-000000-00075;Intuis S Dir open;Intuis S Dir open;http://www.audiologys.com/image_pour_import/articles/db50c8857d691475581607b98787ccf2.jpg;;360.5;draft;contour_d_oreille_standard;premier;surdite_legere_a_moyenne;classe_c;siemens;non;non;oui;non;non;non;13;non;;;;;;;no;search;no;open;open
A-000000-00076;A-000000-00076;Intuis Dir;Intuis Dir;http://www.audiologys.com/image_pour_import/articles/9fe4734ece44141a109ed2484981d377.jpeg;;269.0;draft;contour_d_oreille_standard;optimum;surdite_moyenne_a_severe;classe_c;siemens;non;non;oui;oui;non;oui;13;non;;;;;;;no;search;no;open;open
A-000000-00077;A-000000-00077;Intuis SP Dir;Intuis SP Dir;;;360.5;draft;contour_d_oreille_standard;confort;surdite_moyenne_a_severe;classe_c;siemens;non;non;oui;oui;non;oui;675;non;;;;;;;no;search;no;open;open
A-000000-00078;A-000000-00078;Cielo 2 ITE;Cielo 2 ITE;;;406.0;draft;intra_auriculaire_discret;extra;surdite_moyenne_a_severe;;;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00079;A-000000-00079;Nitro CIC;Nitro CIC;;;455.0;draft;intra_auriculaire_tres_discret;extra;surdite_moyenne_a_severe;;;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00080;A-000000-00080;Cielo 2 Active;Cielo 2 Active;;;413.0;draft;micro_contour_ecouteur_deporte;extra;surdite_moyenne_a_severe;;;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00081;A-000000-00081;Cielo 2 Life;Cielo 2 Life;;;399.0;draft;micro_contour_open;extra;surdite_moyenne_a_severe;;;;;;;;;;;;;;;;;no;search;no;open;open
