A-000000-00005;Dual V;micro_contour_ecouteur_deporte;optimum;surdite_legere_de_20_a_40_de_perte;classe_d;oticon;oui;oui;oui_telecommande;oui_telecommande;non;oui;312;oui;www.oticon.fr/;6_canaux;oui;;;;no;search;no;open;open
A-000000-00009;WIDEX MIND 330 M 9 T;contour_d_oreille;optimum;surdite_legere_de_20_a_40_de_perte;classe_d;widex;oui;non;oui;oui;non;oui;13;non;www.widex.fr/;6_canaux;oui;;;;no;search;no;open;open
A-000000-00026;DUAL MINI M7;micro_contour_ecouteur_deporte;extra;surdite_legere_de_20_a_40_de_perte;classe_d;oticon;oui;oui;oui_telecommande;oui_telecommande;non;oui;10;oui;www.oticon.fr/;8_canaux;oui;;;;no;search;no;open;open
A-000000-00067;Infiniti Pro ITE;intra_auriculaire;confort;surdite_legere_a_moyenne;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00068;Infiniti Pro;contour_d_oreille_standard;confort;surdite_moyenne_a_severe;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00069;Infiniti Pro SP;contour_d_oreille_standard;confort;surdite_moyenne_a_severe;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00070;Intuis ITC;intra_classique;extra;surdite_moyenne_a_severe;classe_c;siemens;non;non;non;non;non;non;13;non;;;;;;;no;search;no;open;open
A-000000-00074;Intuis Life;micro_contour_open;confort;surdite_legere_a_moyenne;classe_c;siemens;non;non;non;non;non;non;13;non;;;;;;;no;search;no;open;open
A-000000-00075;Intuis S Dir open;contour_d_oreille_standard;premier;surdite_legere_a_moyenne;classe_c;siemens;non;non;oui;non;non;non;13;non;;;;;;;no;search;no;open;open
A-000000-00076;Intuis Dir;contour_d_oreille_standard;optimum;surdite_moyenne_a_severe;classe_c;siemens;non;non;oui;oui;non;oui;13;non;;;;;;;no;search;no;open;open
A-000000-00077;Intuis SP Dir;contour_d_oreille_standard;confort;surdite_moyenne_a_severe;classe_c;siemens;non;non;oui;oui;non;oui;675;non;;;;;;;no;search;no;open;open
A-000000-00078;Cielo 2 ITE;intra_auriculaire_discret;extra;surdite_moyenne_a_severe;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00079;Nitro CIC;intra_auriculaire_tres_discret;extra;surdite_moyenne_a_severe;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00080;Cielo 2 Active;micro_contour_ecouteur_deporte;extra;surdite_moyenne_a_severe;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00081;Cielo 2 Life;micro_contour_open;extra;surdite_moyenne_a_severe;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00082;Cielo 2 S;micro_contour_standard;extra;surdite_moyenne_a_severe;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00083;Cielo 2 VC;contour_d_oreille_standard;extra;surdite_moyenne_a_severe;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00084;Cielo 2 P;contour_d_oreille_standard;extra;surdite_moyenne_a_severe;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00085;Cielo 2 SP;contour_d_oreille_standard;extra;surdite_moyenne_a_severe;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00086;Artis 2 ITE;intra_auriculaire_discret;optimum;surdite_legere_a_moyenne;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00087;Artis 2 Life;micro_contour_open;optimum;surdite_legere_a_moyenne;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00088;Artis 2;contour_d_oreille_standard;optimum;surdite_legere_a_moyenne;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00089;Artis 2 P;contour_d_oreille_standard;optimum;surdite_moyenne_a_severe;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00090;Artis 2 SP;contour_d_oreille_standard;optimum;surdite_moyenne_a_severe;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00091;Centra ITE;intra_auriculaire_tres_discret;excellence;surdite_legere_a_moyenne;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00092;Nitro 16;intra_auriculaire_tres_discret;excellence;surdite_legere_a_moyenne;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00093;Centra Active;micro_contour_ecouteur_deporte;excellence;surdite_legere_a_moyenne;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00094;Centra Life;micro_contour_open;excellence;surdite_legere_a_moyenne;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00095;Centra M;micro_contour_standard;excellence;surdite_moyenne_a_severe;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00096;Centra P;contour_d_oreille_standard;excellence;surdite_moyenne_a_severe;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00097;Centra HP;contour_d_oreille_standard;excellence;surdite_moyenne_a_severe;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00098;Centra SP;contour_d_oreille_standard;excellence;surdite_moyenne_a_severe;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00099;Lotus Pro ITE SIEMENS Prix;intra_auriculaire_classique;confort;surdite_legere_a_moyenne_de_20_a_70_de_perte;classe_c;siemens;non;non;non;non;non;non;312;non;www.hearing.siemens.com/fr/03-accueil/index-fr.jsp;2_canaux;non;www.youtube.com/watch?v=OmaWrxoclAk&feature=channel&list=UL;www.facebook.com/login.php;2011_avant;no;search;no;open;open
A-000000-00100;siemens prothese auditive Lotus Pro P;contour_d_oreille;premier;surdite_severe_de_70_a_90;classe_c;siemens;non;non;oui;non;non;oui;13;non;hearing.siemens.com/fr/03-accueil/index-fr.jsp;2_canaux;non;;;;no;search;no;open;open
A-000000-00101;Prothese auditive siemens Lotus Pro SP;contour_d_oreille;premier;surdite_severe_a_profonde_de_70_a_plus_de_90_de_perte;classe_c;siemens;non;non;oui;oui;non;oui;675;non;hearing.siemens.com/fr/03-accueil/index-fr.jsp;2_canaux;non;;;;no;search;no;open;open
A-000000-00102;100 ITE;intra_auriculaire_tres_discret;extra;surdite_legere_a_moyenne;;autre;;;;;;;;;;;;;;;no;search;no;open;open
A-000000-00103;WIDEX MIND 330 M CIC;intra_tres_discret;optimum;surdite_legere_de_20_a_40_de_perte;classe_d;widex;oui;non;oui_telecommande;oui_telecommande;non;non;10;non;www.widex.fr/;6_canaux;oui;;;;no;search;no;open;open
A-000000-00104;WIDEX MIND 330 M  X PRIX;intra_tres_discret;optimum;surdite_legere_de_20_a_40_de_perte;classe_d;widex;oui;non;oui;oui;non;optionnels;312;non;www.widex.fr/;6_canaux;oui;;;;no;search;no;open;open
A-000000-00105;MIND 330 19 T RC;contour_d_oreille;optimum;surdite_moyenne_a_severe_de_40_a_90_de_perte;classe_d;widex;non;non;oui;oui;non;oui;13;non;www.widex.fr/;15_canaux;oui;;;2011_avant;no;search;no;open;open
A-000000-00106;WIDEX MIND 330;micro_contour_open;optimum;surdite_legere_de_20_a_40_de_perte;classe_d;widex;oui;non;oui;oui_telecommande;non;oui;10;non;www.widex.fr/;6_canaux;oui;;;;no;search;no;open;open
A-000000-00107;MIND 440 CIC;intra_tres_discret;elite;surdite_legere_de_20_a_40_de_perte;classe_d;widex;oui;non;oui_telecommande;oui_telecommande;non;non;10;non;www.widex.fr/;6_canaux;oui;;;;no;search;no;open;open
A-000000-00108;MIND 440 X;intra_classique;elite;surdite_legere_de_20_a_40_de_perte;classe_d;widex;oui;non;oui;oui_telecommande;non;optionnels;312;non;www.widex.fr/;6_canaux;oui;;;;no;search;no;open;open
A-000000-00109;MIND 440 19 T RC;contour_d_oreille;elite;surdite_legere_de_20_a_40_de_perte;classe_d;widex;oui;non;oui;oui;non;oui;13;non;www.widex.fr/;6_canaux;oui;;;;no;search;no;open;open
A-000000-00110;MIND 440 9 T RC PRIX PROTHESE AUDITIVE;contour_d_oreille;elite;surdite_legere_de_20_a_40_de_perte;classe_d;widex;oui;non;oui;oui;non;oui;13;non;www.widex.fr/;6_canaux;oui;;;;no;search;no;open;open
A-000000-00111;WIDEX MIND 440;micro_contour_open;elite;surdite_legere_de_20_a_40_de_perte;classe_d;widex;oui;non;oui;oui_telecommande;non;oui;10;non;www.widex.fr/;6_canaux;oui;;;;no;search;no;open;open
A-000000-00112;DESTINY 400;contour_d_oreille;optimum;surdite_legere_de_20_a_40_de_perte;classe_c;starkey;non;non;oui;oui;non;non;312;non;www.starkey.fr/;large_bande;oui;;;;no;search;no;open;open
A-000000-00113;E SERIES 2 MINI DIR;contour_d_oreille;premier;surdite_legere_a_moyenne_de_20_a_70_de_perte;classe_c;starkey;non;non;oui;oui;non;oui;312;non;www.starkey.fr/;4_canaux;oui;;;;no;search;no;open;open
A-000000-00114;E SERIES 2 BTE;contour_d_oreille;confort;surdite_legere_a_moyenne_de_20_a_70_de_perte;classe_c;starkey;non;non;oui;oui;non;oui;13;non;www.starkey.fr/;4_canaux;oui;;;;no;search;no;open;open
